# gitter live-R baseline generated 2026-03-03 15:24:21Z
# source_repo	https://github.com/omarwagih/gitter.git
# source_ref	master
# row	col	size	circularity	flags
1	1	363	0.36806459641956	C
1	2	225	0.0891428904868071	C
1	3	400	0.63686398447689	
1	4	365	0.704323156894566	
1	5	255	0.22505081704355	C
1	6	365	0.143662959527111	S,C
1	7	413	0.183609809746979	S,C
1	8	333	0.800878221018778	
1	9	304	0.869485764351808	
1	10	286	0.645835279115534	
1	11	347	0.8157436717637	
1	12	340	0.752420681822713	
1	13	365	0.707327655184365	
1	14	392	0.832106397972271	
1	15	408	0.727646510682002	
1	16	438	0.840128072079721	
1	17	371	0.779117905933506	
1	18	339	0.918234044610208	
1	19	401	0.725249422820435	
1	20	453	0.784502607204815	S
1	21	391	0.700187300044059	
1	22	357	0.860991779435569	
1	23	470	0.461860768011266	C
1	24	516	0.599364555711545	S,C
1	25	456	0.486783049215303	C
1	26	348	0.313249100171526	S,C
1	27	460	0.616385720833756	
1	28	452	0.650742252042649	
1	29	471	0.433553865075776	C
1	30	424	0.613613918593295	
1	31	499	0.540914554254895	C
1	32	468	0.651473912727527	
1	33	492	0.568830093851571	C
1	34	473	0.744440497319316	
1	35	0	NA	
1	36	0	NA	
1	37	179	0.770204419971003	
1	38	145	0.829443656782975	
1	39	252	0.801166326129691	
1	40	341	0.140710095723564	C
1	41	596	0.412101583297648	C
1	42	494	0.425827436409669	C
1	43	0	NA	
1	44	0	NA	
1	45	525	0.737234149796486	
1	46	397	0.687522152451019	
1	47	383	0.465619465360551	S,C
1	48	698	0.273986184433773	S,C
2	1	270	0.821039739912249	
2	2	267	0.93383756217982	
2	3	378	0.939306542543551	
2	4	315	0.834563764390398	
2	5	189	0.876939994798649	
2	6	209	0.805175943935347	
2	7	323	0.768000791610759	
2	8	326	0.823602634759412	
2	9	280	0.851448619168259	
2	10	310	0.843929336153641	
2	11	338	0.959691912379712	
2	12	345	0.88626525912503	
2	13	346	0.82658513354224	
2	14	337	0.917432858979926	
2	15	332	0.798473181316019	
2	16	324	0.953219087206007	
2	17	268	0.786045710747142	
2	18	270	0.908470246458812	
2	19	328	0.972192621396109	
2	20	298	0.867591764402664	S
2	21	291	0.811883007219362	
2	22	274	0.974027745536304	
2	23	311	0.826376302956584	
2	24	307	0.871672831658495	
2	25	273	0.90120483595385	
2	26	303	0.824872867272752	S
2	27	261	0.954220737031628	
2	28	282	0.873375024555925	
2	29	264	1.00495212255364	
2	30	261	0.845461034318684	
2	31	285	0.844740539932595	
2	32	301	0.967480897636788	
2	33	278	0.988247128682819	
2	34	317	0.800865138707772	
2	35	0	NA	
2	36	0	NA	
2	37	164	0.850923349786348	
2	38	165	0.93017972977257	
2	39	215	0.852853093834266	
2	40	229	0.830340886982592	
2	41	446	0.859111174629581	
2	42	459	0.897118159277239	
2	43	0	NA	
2	44	0	NA	
2	45	448	0.86296369110774	
2	46	417	0.832134668140636	
2	47	336	0.797351345704663	
2	48	403	0.487603616444326	C
3	1	505	0.926317836409147	
3	2	400	0.899125451064308	
3	3	358	0.855252826035035	
3	4	317	0.884422382434838	
3	5	286	0.99694440705092	
3	6	303	0.98151223524353	
3	7	300	0.971794292320327	
3	8	295	0.823042911098666	
3	9	318	0.95974359147869	
3	10	328	0.989924207562925	
3	11	305	0.920508790569184	
3	12	293	0.924366051019537	
3	13	181	0.813708533213199	
3	14	191	0.886219783103397	
3	15	216	0.864255375661324	
3	16	212	0.807007007505195	
3	17	285	0.889429383059283	
3	18	254	0.822785834164544	
3	19	254	0.878285170877616	
3	20	252	0.760551525322735	
3	21	257	0.99856341344294	
3	22	276	0.854792577224948	
3	23	149	0.950447344182774	
3	24	164	0.785759838668748	
3	25	101	0.756114174023852	
3	26	84	1.06002386738077	
3	27	353	0.798653348182529	
3	28	282	0.93091488549079	
3	29	356	0.884637907792339	
3	30	204	0.833576362268628	
3	31	230	0.810981753310103	
3	32	243	0.898904172385596	
3	33	279	0.896768008108517	
3	34	321	0.824612023707637	
3	35	360	0.796680721929932	
3	36	377	0.930461195967838	
3	37	0	NA	
3	38	0	NA	
3	39	203	0.941898512931883	
3	40	227	0.998263834097711	
3	41	0	NA	
3	42	0	NA	
3	43	423	0.921713975721532	
3	44	427	0.981444228001941	
3	45	0	NA	
3	46	0	NA	
3	47	269	0.967387731077343	
3	48	304	0.833538281639396	
4	1	446	0.871709583960018	
4	2	404	0.93470402065376	
4	3	374	0.893476416025427	
4	4	362	0.929936300879017	
4	5	314	0.820313225756203	
4	6	230	0.920271927787521	
